country,continent,year,lifeExp,pop,iso_alpha,iso_num,GDP per person,g7
Afghanistan,Asia,1952,28.8,8425333,AFG,4,779.0,
Afghanistan,Asia,1957,30.3,9240934,AFG,4,821.0,
Afghanistan,Asia,1962,32.0,10267083,AFG,4,853.0,
Afghanistan,Asia,1967,34.0,11537966,AFG,4,836.0,
Afghanistan,Asia,1972,36.1,13079460,AFG,4,740.0,
Afghanistan,Asia,1977,38.4,14880372,AFG,4,786.0,
Afghanistan,Asia,1982,39.9,12881816,AFG,4,978.0,
Afghanistan,Asia,1987,40.8,13867957,AFG,4,852.0,
Afghanistan,Asia,1992,41.7,16317921,AFG,4,649.0,
Afghanistan,Asia,1997,41.8,22227415,AFG,4,635.0,
Afghanistan,Asia,2002,42.1,25268405,AFG,4,727.0,
Afghanistan,Asia,2007,43.8,31889923,AFG,4,975.0,
Albania,Europe,1952,55.2,1282697,ALB,8,1601.0,
Albania,Europe,1957,59.3,1476505,ALB,8,1942.0,
Albania,Europe,1962,64.8,1728137,ALB,8,2313.0,
Albania,Europe,1967,66.2,1984060,ALB,8,2760.0,
Albania,Europe,1972,67.7,2263554,ALB,8,3313.0,
Albania,Europe,1977,68.9,2509048,ALB,8,3533.0,
Albania,Europe,1982,70.4,2780097,ALB,8,3631.0,
Albania,Europe,1987,72.0,3075321,ALB,8,3739.0,
Albania,Europe,1992,71.6,3326498,ALB,8,2497.0,
Albania,Europe,1997,73.0,3428038,ALB,8,3193.0,
Albania,Europe,2002,75.7,3508512,ALB,8,4604.0,
Albania,Europe,2007,76.4,3600523,ALB,8,5937.0,
Algeria,Africa,1952,43.1,9279525,DZA,12,2449.0,
Algeria,Africa,1957,45.7,10270856,DZA,12,3014.0,
Algeria,Africa,1962,48.3,11000948,DZA,12,2551.0,
Algeria,Africa,1967,51.4,12760499,DZA,12,3247.0,
Algeria,Africa,1972,54.5,14760787,DZA,12,4183.0,
Algeria,Africa,1977,58.0,17152804,DZA,12,4910.0,
Algeria,Africa,1982,61.4,20033753,DZA,12,5745.0,
Algeria,Africa,1987,65.8,23254956,DZA,12,5681.0,
Algeria,Africa,1992,67.7,26298373,DZA,12,5023.0,
Algeria,Africa,1997,69.2,29072015,DZA,12,4797.0,
Algeria,Africa,2002,71.0,31287142,DZA,12,5288.0,
Algeria,Africa,2007,72.3,33333216,DZA,12,6223.0,
Angola,Africa,1952,30.0,4232095,AGO,24,3521.0,
Angola,Africa,1957,32.0,4561361,AGO,24,3828.0,
Angola,Africa,1962,34.0,4826015,AGO,24,4269.0,
Angola,Africa,1967,36.0,5247469,AGO,24,5523.0,
Angola,Africa,1972,37.9,5894858,AGO,24,5473.0,
Angola,Africa,1977,39.5,6162675,AGO,24,3009.0,
Angola,Africa,1982,39.9,7016384,AGO,24,2757.0,
Angola,Africa,1987,39.9,7874230,AGO,24,2430.0,
Angola,Africa,1992,40.6,8735988,AGO,24,2628.0,
Angola,Africa,1997,41.0,9875024,AGO,24,2277.0,
Angola,Africa,2002,41.0,10866106,AGO,24,2773.0,
Angola,Africa,2007,42.7,12420476,AGO,24,4797.0,
Argentina,Americas,1952,62.5,17876956,ARG,32,5911.0,
Argentina,Americas,1957,64.4,19610538,ARG,32,6857.0,
Argentina,Americas,1962,65.1,21283783,ARG,32,7133.0,
Argentina,Americas,1967,65.6,22934225,ARG,32,8053.0,
Argentina,Americas,1972,67.1,24779799,ARG,32,9443.0,
Argentina,Americas,1977,68.5,26983828,ARG,32,10079.0,
Argentina,Americas,1982,69.9,29341374,ARG,32,8998.0,
Argentina,Americas,1987,70.8,31620918,ARG,32,9140.0,
Argentina,Americas,1992,71.9,33958947,ARG,32,9308.0,
Argentina,Americas,1997,73.3,36203463,ARG,32,10967.0,
Argentina,Americas,2002,74.3,38331121,ARG,32,8798.0,
Argentina,Americas,2007,75.3,40301927,ARG,32,12779.0,
Australia,Oceania,1952,69.1,8691212,AUS,36,10040.0,
Australia,Oceania,1957,70.3,9712569,AUS,36,10950.0,
Australia,Oceania,1962,70.9,10794968,AUS,36,12217.0,
Australia,Oceania,1967,71.1,11872264,AUS,36,14526.0,
Australia,Oceania,1972,71.9,13177000,AUS,36,16789.0,
Australia,Oceania,1977,73.5,14074100,AUS,36,18334.0,
Australia,Oceania,1982,74.7,15184200,AUS,36,19477.0,
Australia,Oceania,1987,76.3,16257249,AUS,36,21889.0,
Australia,Oceania,1992,77.6,17481977,AUS,36,23425.0,
Australia,Oceania,1997,78.8,18565243,AUS,36,26998.0,
Australia,Oceania,2002,80.4,19546792,AUS,36,30688.0,
Australia,Oceania,2007,81.2,20434176,AUS,36,34435.0,
Austria,Europe,1952,66.8,6927772,AUT,40,6137.0,
Austria,Europe,1957,67.5,6965860,AUT,40,8843.0,
Austria,Europe,1962,69.5,7129864,AUT,40,10751.0,
Austria,Europe,1967,70.1,7376998,AUT,40,12835.0,
Austria,Europe,1972,70.6,7544201,AUT,40,16662.0,
Austria,Europe,1977,72.2,7568430,AUT,40,19749.0,
Austria,Europe,1982,73.2,7574613,AUT,40,21597.0,
Austria,Europe,1987,74.9,7578903,AUT,40,23688.0,
Austria,Europe,1992,76.0,7914969,AUT,40,27042.0,
Austria,Europe,1997,77.5,8069876,AUT,40,29096.0,
Austria,Europe,2002,79.0,8148312,AUT,40,32418.0,
Austria,Europe,2007,79.8,8199783,AUT,40,36126.0,
Bahrain,Asia,1952,50.9,120447,BHR,48,9867.0,
Bahrain,Asia,1957,53.8,138655,BHR,48,11636.0,
Bahrain,Asia,1962,56.9,171863,BHR,48,12753.0,
Bahrain,Asia,1967,59.9,202182,BHR,48,14805.0,
Bahrain,Asia,1972,63.3,230800,BHR,48,18269.0,
Bahrain,Asia,1977,65.6,297410,BHR,48,19340.0,
Bahrain,Asia,1982,69.1,377967,BHR,48,19211.0,
Bahrain,Asia,1987,70.8,454612,BHR,48,18524.0,
Bahrain,Asia,1992,72.6,529491,BHR,48,19036.0,
Bahrain,Asia,1997,73.9,598561,BHR,48,20292.0,
Bahrain,Asia,2002,74.8,656397,BHR,48,23404.0,
Bahrain,Asia,2007,75.6,708573,BHR,48,29796.0,
Bangladesh,Asia,1952,37.5,46886859,BGD,50,684.0,
Bangladesh,Asia,1957,39.3,51365468,BGD,50,662.0,
